"uniqway","year","islet","waypoint","trial_time","poll_species","plant_species","interaction","intyesno","perimeter","area","log_area","alpha"
"COO-COC-4-2017",2017,"Cooper","COO-COC-4",11:25:00,"Chrysosoma sp","Cocos nucifera","Chrysosoma sp-Cocos nucifera",1,11918,1116182,13.9254244910642,"T"
"LES-HEL-2-2017",2017,"Leslie","LES-HEL-2",11:50:00,"Chrysosoma sp","Heliotropium foertherianum","Chrysosoma sp-Heliotropium foertherianum",1,452,7978,8.98444303246535,"I"
"LOS-PIS-1-2017",2017,"Lost","LOS-PIS-1",10:40:00,"Chrysosoma sp","Pisonia grandis","Chrysosoma sp-Pisonia grandis",1,330,3451,8.146419323098,"F"
"LES-SCA-3-2017",2017,"Leslie","LES-SCA-3",14:30:00,"Chrysosoma sp","Scaevola taccada","Chrysosoma sp-Scaevola taccada",1,452,7978,8.98444303246535,"I"
"WHI-SCA-3-2017",2017,"Whippoorwill","WHI-SCA-3",14:45:00,"Chrysosoma sp","Scaevola taccada","Chrysosoma sp-Scaevola taccada",1,1019,16787,9.72836005632241,"L"
"LES-HEL-1-2017",2017,"Leslie","LES-HEL-1",10:30:00,"Chrysosoma sp","Heliotropium foertherianum","Chrysosoma sp-Heliotropium foertherianum",1,452,7978,8.98444303246535,"I"
"EAS-HEL-1-2017",2017,"Eastern","EAS-HEL-1",09:23:00,"Chrysosoma sp","Heliotropium foertherianum","Chrysosoma sp-Heliotropium foertherianum",1,4756,132576,11.7949113448771,"Q"
"FRI-COC-2-2017",2017,"Frigate","FRI-COC-2",14:45:00,"Chrysosoma sp","Cocos nucifera","Chrysosoma sp-Cocos nucifera",1,462,7199,8.8816974064693,"H"
"DUD-SCA-1-2017",2017,"Dudley","DUD-SCA-1",13:45:00,"Chrysosoma sp","Scaevola taccada","Chrysosoma sp-Scaevola taccada",1,445,10249,9.23493541883156,"K"
"EAS-HEL-1-2017",2017,"Eastern","EAS-HEL-1",09:23:00,"Chrysosoma sp","Heliotropium foertherianum","Chrysosoma sp-Heliotropium foertherianum",1,4756,132576,11.7949113448771,"Q"
"LES-HEL-1-2017",2017,"Leslie","LES-HEL-1",10:25:00,"Chrysosoma sp","Heliotropium foertherianum","Chrysosoma sp-Heliotropium foertherianum",1,452,7978,8.98444303246535,"I"
"EAS-HEL-1-2017",2017,"Eastern","EAS-HEL-1",09:50:00,"Chrysosoma sp","Heliotropium foertherianum","Chrysosoma sp-Heliotropium foertherianum",1,4756,132576,11.7949113448771,"Q"
"EAS-COC-2-2017",2017,"Eastern","EAS-COC-2",14:05:00,"Chrysosoma sp","Cocos nucifera","Chrysosoma sp-Cocos nucifera",1,4756,132576,11.7949113448771,"Q"
"LES-SCA-3-2017",2017,"Leslie","LES-SCA-3",14:30:00,"Chrysosoma sp","Scaevola taccada","Chrysosoma sp-Scaevola taccada",1,452,7978,8.98444303246535,"I"
"FER-HEL-2-2017",2017,"Fern","FER-HEL-2",12:05:00,"Chrysosoma sp","Heliotropium foertherianum","Chrysosoma sp-Heliotropium foertherianum",1,266,4862,8.48920515487607,"G"
"DUD-SCA-3-2017",2017,"Dudley","DUD-SCA-3",13:15:00,"Chrysosoma sp","Scaevola taccada","Chrysosoma sp-Scaevola taccada",1,445,10249,9.23493541883156,"K"
"DUD-SCA-1-2017",2017,"Dudley","DUD-SCA-1",13:45:00,"Chrysosoma sp","Scaevola taccada","Chrysosoma sp-Scaevola taccada",1,445,10249,9.23493541883156,"K"
"POR-SCA-2-2017",2017,"Portsmouth","POR-SCA-2",15:15:00,"Chrysosoma sp","Scaevola taccada","Chrysosoma sp-Scaevola taccada",1,277,3306,8.10349427838097,"D"
"SAN-SCA-3-2017",2017,"Sand","SAN-SCA-3",10:35:00,"Chrysosoma sp","Scaevola taccada","Chrysosoma sp-Scaevola taccada",1,1771,80056,11.2904816687703,"N"
"LES-SCA-2-2017",2017,"Leslie","LES-SCA-2",11:35:00,"Chrysosoma sp","Scaevola taccada","Chrysosoma sp-Scaevola taccada",1,452,7978,8.98444303246535,"I"
"LOS-PIS-1-2017",2017,"Lost","LOS-PIS-1",10:35:00,"Chrysosoma sp","Pisonia grandis","Chrysosoma sp-Pisonia grandis",1,330,3451,8.146419323098,"F"
"LOS-PIS-1-2017",2017,"Lost","LOS-PIS-1",10:10:00,"Chrysosoma sp","Pisonia grandis","Chrysosoma sp-Pisonia grandis",1,330,3451,8.146419323098,"F"
"DUD-SCA-1-2017",2017,"Dudley","DUD-SCA-1",13:45:00,"Chrysosoma sp","Scaevola taccada","Chrysosoma sp-Scaevola taccada",1,445,10249,9.23493541883156,"K"
"LES-SCA-1-2017",2017,"Leslie","LES-SCA-1",11:05:00,"Chrysosoma sp","Scaevola taccada","Chrysosoma sp-Scaevola taccada",1,452,7978,8.98444303246535,"I"
"EAS-HEL-1-2017",2017,"Eastern","EAS-HEL-1",09:33:00,"Chrysosoma sp","Heliotropium foertherianum","Chrysosoma sp-Heliotropium foertherianum",1,4756,132576,11.7949113448771,"Q"
"DUD-SCA-1-2017",2017,"Dudley","DUD-SCA-1",13:45:00,"Chrysosoma sp","Scaevola taccada","Chrysosoma sp-Scaevola taccada",1,445,10249,9.23493541883156,"K"
"EAS-COC-4-2017",2017,"Eastern","EAS-COC-4",14:57:00,"Chrysosoma sp","Cocos nucifera","Chrysosoma sp-Cocos nucifera",1,4756,132576,11.7949113448771,"Q"
"EAS-HEL-1-2017",2017,"Eastern","EAS-HEL-1",09:18:00,"Chrysosoma sp","Heliotropium foertherianum","Chrysosoma sp-Heliotropium foertherianum",1,4756,132576,11.7949113448771,"Q"
"LOS-PIS-1-2017",2017,"Lost","LOS-PIS-1",10:30:00,"Chrysosoma sp","Pisonia grandis","Chrysosoma sp-Pisonia grandis",1,330,3451,8.146419323098,"F"
"LES-SCA-2-2017",2017,"Leslie","LES-SCA-2",11:25:00,"Chrysosoma sp","Scaevola taccada","Chrysosoma sp-Scaevola taccada",1,452,7978,8.98444303246535,"I"
"FER-COC-1-2017",2017,"Fern","FER-COC-1",09:50:00,"Chrysosoma sp","Cocos nucifera","Chrysosoma sp-Cocos nucifera",1,266,4862,8.48920515487607,"G"
"COO-COC-4-2017",2017,"Cooper","COO-COC-4",11:20:00,"Chrysosoma sp","Cocos nucifera","Chrysosoma sp-Cocos nucifera",1,11918,1116182,13.9254244910642,"T"
"LES-SCA-1-2017",2017,"Leslie","LES-SCA-1",11:05:00,"Chrysosoma sp","Scaevola taccada","Chrysosoma sp-Scaevola taccada",1,452,7978,8.98444303246535,"I"
"COO-COC-3-2017",2017,"Cooper","COO-COC-3",15:50:00,"Chrysosoma sp","Cocos nucifera","Chrysosoma sp-Cocos nucifera",1,11918,1116182,13.9254244910642,"T"
"DUD-SCA-2-2017",2017,"Dudley","DUD-SCA-2",14:30:00,"Chrysosoma sp","Scaevola taccada","Chrysosoma sp-Scaevola taccada",1,445,10249,9.23493541883156,"K"
"LES-SCA-4-2017",2017,"Leslie","LES-SCA-4",11:40:00,"Chrysosoma sp","Scaevola taccada","Chrysosoma sp-Scaevola taccada",1,452,7978,8.98444303246535,"I"
"DUD-SCA-1-2017",2017,"Dudley","DUD-SCA-1",13:45:00,"Chrysosoma sp","Scaevola taccada","Chrysosoma sp-Scaevola taccada",1,445,10249,9.23493541883156,"K"
"WHI-SCA-3-2017",2017,"Whippoorwill","WHI-SCA-3",14:45:00,"Chrysosoma sp","Scaevola taccada","Chrysosoma sp-Scaevola taccada",1,1019,16787,9.72836005632241,"L"
"WHI-HEL-6-2017",2017,"Whippoorwill","WHI-HEL-6",12:58:00,"Chrysosoma sp","Heliotropium foertherianum","Chrysosoma sp-Heliotropium foertherianum",1,1019,16787,9.72836005632241,"L"
"WHI-SCA-3-2017",2017,"Whippoorwill","WHI-SCA-3",14:45:00,"Chrysosoma sp","Scaevola taccada","Chrysosoma sp-Scaevola taccada",1,1019,16787,9.72836005632241,"L"
"FER-HEL-2-2017",2017,"Fern","FER-HEL-2",12:00:00,"Chrysosoma sp","Heliotropium foertherianum","Chrysosoma sp-Heliotropium foertherianum",1,266,4862,8.48920515487607,"G"
"LES-SCA-1-2017",2017,"Leslie","LES-SCA-1",11:00:00,"Chrysosoma sp","Scaevola taccada","Chrysosoma sp-Scaevola taccada",1,452,7978,8.98444303246535,"I"
"LOS-PIS-1-2017",2017,"Lost","LOS-PIS-1",10:10:00,"Chrysosoma sp","Pisonia grandis","Chrysosoma sp-Pisonia grandis",1,330,3451,8.146419323098,"F"
"HOS-COC-1-2017",2017,"Hos","HOS-COC-1",13:17:00,"Chrysosoma sp","Cocos nucifera","Chrysosoma sp-Cocos nucifera",1,561,9118,9.11800576077339,"J"
"LES-SCA-1-2017",2017,"Leslie","LES-SCA-1",11:05:00,"Chrysosoma sp","Scaevola taccada","Chrysosoma sp-Scaevola taccada",1,452,7978,8.98444303246535,"I"
"LOS-PIS-1-2017",2017,"Lost","LOS-PIS-1",11:25:00,"Chrysosoma sp","Pisonia grandis","Chrysosoma sp-Pisonia grandis",1,330,3451,8.146419323098,"F"
"PAR-SCA-2-2017",2017,"Paradise","PAR-SCA-2",15:10:00,"Chrysosoma sp","Scaevola taccada","Chrysosoma sp-Scaevola taccada",1,2534,80413,11.2949311336387,"O"
"COO-COC-4-2017",2017,"Cooper","COO-COC-4",11:25:00,"Chrysosoma sp","Cocos nucifera","Chrysosoma sp-Cocos nucifera",1,11918,1116182,13.9254244910642,"T"
"KAU-SCA-2-2017",2017,"Kaula","KAU-SCA-2",13:30:00,"Chrysosoma sp","Scaevola taccada","Chrysosoma sp-Scaevola taccada",1,7662,331810,12.7123177949221,"S"
"LES-HEL-1-2017",2017,"Leslie","LES-HEL-1",10:25:00,"Chrysosoma sp","Heliotropium foertherianum","Chrysosoma sp-Heliotropium foertherianum",1,452,7978,8.98444303246535,"I"
"DUD-SCA-3-2017",2017,"Dudley","DUD-SCA-3",13:15:00,"Chrysosoma sp","Scaevola taccada","Chrysosoma sp-Scaevola taccada",1,445,10249,9.23493541883156,"K"
"COO-SCA-3-2017",2017,"Cooper","COO-SCA-3",16:35:00,"Chrysosoma sp","Scaevola taccada","Chrysosoma sp-Scaevola taccada",1,11918,1116182,13.9254244910642,"T"
"COO-SCA-3-2017",2017,"Cooper","COO-SCA-3",16:35:00,"Chrysosoma sp","Scaevola taccada","Chrysosoma sp-Scaevola taccada",1,11918,1116182,13.9254244910642,"T"
"COO-TRI-1-2017",2017,"Cooper","COO-TRI-1",15:30:00,"Chrysosoma sp","Triumfetta procumbens","Chrysosoma sp-Triumfetta procumbens",1,11918,1116182,13.9254244910642,"T"
"EAS-COC-4-2017",2017,"Eastern","EAS-COC-4",14:57:00,"Chrysosoma sp","Cocos nucifera","Chrysosoma sp-Cocos nucifera",1,4756,132576,11.7949113448771,"Q"
"EAS-HEL-1-2017",2017,"Eastern","EAS-HEL-1",09:23:00,"Chrysosoma sp","Heliotropium foertherianum","Chrysosoma sp-Heliotropium foertherianum",1,4756,132576,11.7949113448771,"Q"
"COO-COC-4-2017",2017,"Cooper","COO-COC-4",11:20:00,"Chrysosoma sp","Cocos nucifera","Chrysosoma sp-Cocos nucifera",1,11918,1116182,13.9254244910642,"T"
"LES-SCA-2-2017",2017,"Leslie","LES-SCA-2",11:35:00,"Chrysosoma sp","Scaevola taccada","Chrysosoma sp-Scaevola taccada",1,452,7978,8.98444303246535,"I"
"PAR-SCA-1-2017",2017,"Paradise","PAR-SCA-1",09:55:00,"Chrysosoma sp","Scaevola taccada","Chrysosoma sp-Scaevola taccada",1,2534,80413,11.2949311336387,"O"
"SAN-SCA-3-2017",2017,"Sand","SAN-SCA-3",10:35:00,"Chrysosoma sp","Scaevola taccada","Chrysosoma sp-Scaevola taccada",1,1771,80056,11.2904816687703,"N"
"EAS-HEL-1-2017",2017,"Eastern","EAS-HEL-1",09:23:00,"Chrysosoma sp","Heliotropium foertherianum","Chrysosoma sp-Heliotropium foertherianum",1,4756,132576,11.7949113448771,"Q"
"LES-SCA-1-2017",2017,"Leslie","LES-SCA-1",11:05:00,"Chrysosoma sp","Scaevola taccada","Chrysosoma sp-Scaevola taccada",1,452,7978,8.98444303246535,"I"
"LES-SCA-1-2017",2017,"Leslie","LES-SCA-1",11:05:00,"Chrysosoma sp","Scaevola taccada","Chrysosoma sp-Scaevola taccada",1,452,7978,8.98444303246535,"I"
"LES-SCA-1-2017",2017,"Leslie","LES-SCA-1",11:05:00,"Chrysosoma sp","Scaevola taccada","Chrysosoma sp-Scaevola taccada",1,452,7978,8.98444303246535,"I"
"LOS-PIS-1-2017",2017,"Lost","LOS-PIS-1",10:30:00,"Chrysosoma sp","Pisonia grandis","Chrysosoma sp-Pisonia grandis",1,330,3451,8.146419323098,"F"
"LOS-PIS-1-2017",2017,"Lost","LOS-PIS-1",10:30:00,"Chrysosoma sp","Pisonia grandis","Chrysosoma sp-Pisonia grandis",1,330,3451,8.146419323098,"F"
"DUD-SCA-1-2017",2017,"Dudley","DUD-SCA-1",13:45:00,"Chrysosoma sp","Scaevola taccada","Chrysosoma sp-Scaevola taccada",1,445,10249,9.23493541883156,"K"
"DUD-HEL-2-2017",2017,"Dudley","DUD-HEL-2",10:30:00,"Chrysosoma sp","Heliotropium foertherianum","Chrysosoma sp-Heliotropium foertherianum",1,445,10249,9.23493541883156,"K"
"DUD-SCA-4-2017",2017,"Dudley","DUD-SCA-4",13:25:00,"Chrysosoma sp","Scaevola taccada","Chrysosoma sp-Scaevola taccada",1,445,10249,9.23493541883156,"K"
"DUD-SCA-4-2017",2017,"Dudley","DUD-SCA-4",13:25:00,"Chrysosoma sp","Scaevola taccada","Chrysosoma sp-Scaevola taccada",1,445,10249,9.23493541883156,"K"
"LOS-PIS-1-2017",2017,"Lost","LOS-PIS-1",10:05:00,"Chrysosoma sp","Pisonia grandis","Chrysosoma sp-Pisonia grandis",1,330,3451,8.146419323098,"F"
"FRI-COC-4-2017",2017,"Frigate","FRI-COC-4",16:11:00,"Chrysosoma sp","Cocos nucifera","Chrysosoma sp-Cocos nucifera",1,462,7199,8.8816974064693,"H"
"SAN-SCA-2-2017",2017,"Sand","SAN-SCA-2",09:50:00,"Chrysosoma sp","Scaevola taccada","Chrysosoma sp-Scaevola taccada",1,1771,80056,11.2904816687703,"N"
"LES-SCA-4-2017",2017,"Leslie","LES-SCA-4",11:40:00,"Chrysosoma sp","Scaevola taccada","Chrysosoma sp-Scaevola taccada",1,452,7978,8.98444303246535,"I"
"LES-SCA-4-2017",2017,"Leslie","LES-SCA-4",11:40:00,"Chrysosoma sp","Scaevola taccada","Chrysosoma sp-Scaevola taccada",1,452,7978,8.98444303246535,"I"
"LES-SCA-4-2017",2017,"Leslie","LES-SCA-4",11:40:00,"Chrysosoma sp","Scaevola taccada","Chrysosoma sp-Scaevola taccada",1,452,7978,8.98444303246535,"I"
"FER-HEL-2-2017",2017,"Fern","FER-HEL-2",12:05:00,"Chrysosoma sp","Heliotropium foertherianum","Chrysosoma sp-Heliotropium foertherianum",1,266,4862,8.48920515487607,"G"
"COO-SCA-4-2017",2017,"Cooper","COO-SCA-4",15:10:00,"Chrysosoma sp","Scaevola taccada","Chrysosoma sp-Scaevola taccada",1,11918,1116182,13.9254244910642,"T"
"HON-HEL-1-2017",2017,"Hon","HON-HEL-1",09:13:00,"Chrysosoma sp","Heliotropium foertherianum","Chrysosoma sp-Heliotropium foertherianum",1,268,2936,7.98480338973441,"C"
"EAS-SCA-1-2017",2017,"Eastern","EAS-SCA-1",12:55:00,"Chrysosoma sp","Scaevola taccada","Chrysosoma sp-Scaevola taccada",1,4756,132576,11.7949113448771,"Q"
"WHI-SCA-3-2017",2017,"Whippoorwill","WHI-SCA-3",14:45:00,"Chrysosoma sp","Scaevola taccada","Chrysosoma sp-Scaevola taccada",1,1019,16787,9.72836005632241,"L"
"DUD-SCA-4-2017",2017,"Dudley","DUD-SCA-4",13:25:00,"Chrysosoma sp","Scaevola taccada","Chrysosoma sp-Scaevola taccada",1,445,10249,9.23493541883156,"K"
"SAN-SCA-2-2017",2017,"Sand","SAN-SCA-2",09:50:00,"Chrysosoma sp","Scaevola taccada","Chrysosoma sp-Scaevola taccada",1,1771,80056,11.2904816687703,"N"
"DUD-SCA-4-2017",2017,"Dudley","DUD-SCA-4",13:25:00,"Chrysosoma sp","Scaevola taccada","Chrysosoma sp-Scaevola taccada",1,445,10249,9.23493541883156,"K"
"LOS-PIS-1-2017",2017,"Lost","LOS-PIS-1",10:45:00,"Chrysosoma sp","Pisonia grandis","Chrysosoma sp-Pisonia grandis",1,330,3451,8.146419323098,"F"
"LOS-PIS-1-2017",2017,"Lost","LOS-PIS-1",10:05:00,"Chrysosoma sp","Pisonia grandis","Chrysosoma sp-Pisonia grandis",1,330,3451,8.146419323098,"F"
"LES-SCA-2-2017",2017,"Leslie","LES-SCA-2",11:35:00,"Chrysosoma sp","Scaevola taccada","Chrysosoma sp-Scaevola taccada",1,452,7978,8.98444303246535,"I"
"COO-SCA-4-2017",2017,"Cooper","COO-SCA-4",15:10:00,"Chrysosoma sp","Scaevola taccada","Chrysosoma sp-Scaevola taccada",1,11918,1116182,13.9254244910642,"T"
"EAS-SCA-2-2017",2017,"Eastern","EAS-SCA-2",13:10:00,"Chrysosoma sp","Scaevola taccada","Chrysosoma sp-Scaevola taccada",1,4756,132576,11.7949113448771,"Q"
"LOS-PIS-1-2017",2017,"Lost","LOS-PIS-1",10:25:00,"Chrysosoma sp","Pisonia grandis","Chrysosoma sp-Pisonia grandis",1,330,3451,8.146419323098,"F"
"DUD-SCA-3-2017",2017,"Dudley","DUD-SCA-3",13:15:00,"Chrysosoma sp","Scaevola taccada","Chrysosoma sp-Scaevola taccada",1,445,10249,9.23493541883156,"K"
"HON-SCA-2-2017",2017,"Hon","HON-SCA-2",09:55:00,"Chrysosoma sp","Scaevola taccada","Chrysosoma sp-Scaevola taccada",1,268,2936,7.98480338973441,"C"
"LES-SCA-3-2017",2017,"Leslie","LES-SCA-3",14:20:00,"Chrysosoma sp","Scaevola taccada","Chrysosoma sp-Scaevola taccada",1,452,7978,8.98444303246535,"I"
"FER-HEL-2-2017",2017,"Fern","FER-HEL-2",12:00:00,"Chrysosoma sp","Heliotropium foertherianum","Chrysosoma sp-Heliotropium foertherianum",1,266,4862,8.48920515487607,"G"
"COO-SCA-3-2017",2017,"Cooper","COO-SCA-3",16:35:00,"Chrysosoma sp","Scaevola taccada","Chrysosoma sp-Scaevola taccada",1,11918,1116182,13.9254244910642,"T"
"EAS-HEL-7-2017",2017,"Eastern","EAS-HEL-7",11:10:00,"Chrysosoma sp","Heliotropium foertherianum","Chrysosoma sp-Heliotropium foertherianum",1,4756,132576,11.7949113448771,"Q"
"LES-SCA-1-2017",2017,"Leslie","LES-SCA-1",11:00:00,"Chrysosoma sp","Scaevola taccada","Chrysosoma sp-Scaevola taccada",1,452,7978,8.98444303246535,"I"
"WHI-HEL-2-2017",2017,"Whippoorwill","WHI-HEL-2",14:35:00,"Chrysosoma sp","Heliotropium foertherianum","Chrysosoma sp-Heliotropium foertherianum",1,1019,16787,9.72836005632241,"L"
"POR-SCA-2-2017",2017,"Portsmouth","POR-SCA-2",14:20:00,"Chrysosoma sp","Scaevola taccada","Chrysosoma sp-Scaevola taccada",1,277,3306,8.10349427838097,"D"
"EAS-COC-4-2017",2017,"Eastern","EAS-COC-4",14:57:00,"Chrysosoma sp","Cocos nucifera","Chrysosoma sp-Cocos nucifera",1,4756,132576,11.7949113448771,"Q"
"FRI-COC-3-2017",2017,"Frigate","FRI-COC-3",14:55:00,"Chrysosoma sp","Cocos nucifera","Chrysosoma sp-Cocos nucifera",1,462,7199,8.8816974064693,"H"
"WHI-HEL-4-2017",2017,"Whippoorwill","WHI-HEL-4",10:00:00,"Chrysosoma sp","Heliotropium foertherianum","Chrysosoma sp-Heliotropium foertherianum",1,1019,16787,9.72836005632241,"L"
"EAS-SCA-1-2017",2017,"Eastern","EAS-SCA-1",12:50:00,"Chrysosoma sp","Scaevola taccada","Chrysosoma sp-Scaevola taccada",1,4756,132576,11.7949113448771,"Q"
"LES-SCA-1-2017",2017,"Leslie","LES-SCA-1",11:05:00,"Chrysosoma sp","Scaevola taccada","Chrysosoma sp-Scaevola taccada",1,452,7978,8.98444303246535,"I"
"EAS-SCA-1-2017",2017,"Eastern","EAS-SCA-1",12:55:00,"Chrysosoma sp","Scaevola taccada","Chrysosoma sp-Scaevola taccada",1,4756,132576,11.7949113448771,"Q"
"COO-SCA-4-2017",2017,"Cooper","COO-SCA-4",15:10:00,"Chrysosoma sp","Scaevola taccada","Chrysosoma sp-Scaevola taccada",1,11918,1116182,13.9254244910642,"T"
"COO-PAN-1-2017",2017,"Cooper","COO-PAN-1",10:20:00,"Chrysosoma sp","Pandanus fischerianus","Chrysosoma sp-Pandanus fischerianus",1,11918,1116182,13.9254244910642,"T"
"FER-HEL-2-2017",2017,"Fern","FER-HEL-2",11:45:00,"Chrysosoma sp","Heliotropium foertherianum","Chrysosoma sp-Heliotropium foertherianum",1,266,4862,8.48920515487607,"G"
"COO-COC-4-2017",2017,"Cooper","COO-COC-4",11:20:00,"Chrysosoma sp","Cocos nucifera","Chrysosoma sp-Cocos nucifera",1,11918,1116182,13.9254244910642,"T"
"PAR-SCA-1-2017",2017,"Paradise","PAR-SCA-1",09:55:00,"Chrysosoma sp","Scaevola taccada","Chrysosoma sp-Scaevola taccada",1,2534,80413,11.2949311336387,"O"
"FER-HEL-2-2017",2017,"Fern","FER-HEL-2",12:05:00,"Chrysosoma sp","Heliotropium foertherianum","Chrysosoma sp-Heliotropium foertherianum",1,266,4862,8.48920515487607,"G"
"LOS-PIS-1-2017",2017,"Lost","LOS-PIS-1",09:50:00,"Chrysosoma sp","Pisonia grandis","Chrysosoma sp-Pisonia grandis",1,330,3451,8.146419323098,"F"
"EAS-SCA-1-2017",2017,"Eastern","EAS-SCA-1",12:50:00,"Chrysosoma sp","Scaevola taccada","Chrysosoma sp-Scaevola taccada",1,4756,132576,11.7949113448771,"Q"
"LES-SCA-4-2017",2017,"Leslie","LES-SCA-4",11:40:00,"Chrysosoma sp","Scaevola taccada","Chrysosoma sp-Scaevola taccada",1,452,7978,8.98444303246535,"I"
"WHI-COC-3-2017",2017,"Whippoorwill","WHI-COC-3",15:11:00,"Chrysosoma sp","Cocos nucifera","Chrysosoma sp-Cocos nucifera",1,1019,16787,9.72836005632241,"L"
"BUN-HEL-3-2017",2017,"Bunker","BUN-HEL-3",09:45:00,"Chrysosoma sp","Heliotropium foertherianum","Chrysosoma sp-Heliotropium foertherianum",1,159,1810,7.50108212425987,"A"
"FER-HEL-2-2017",2017,"Fern","FER-HEL-2",12:05:00,"Chrysosoma sp","Heliotropium foertherianum","Chrysosoma sp-Heliotropium foertherianum",1,266,4862,8.48920515487607,"G"
"COO-COC-3-2017",2017,"Cooper","COO-COC-3",15:50:00,"Chrysosoma sp","Cocos nucifera","Chrysosoma sp-Cocos nucifera",1,11918,1116182,13.9254244910642,"T"
"FER-HEL-2-2017",2017,"Fern","FER-HEL-2",12:05:00,"Chrysosoma sp","Heliotropium foertherianum","Chrysosoma sp-Heliotropium foertherianum",1,266,4862,8.48920515487607,"G"
"EAS-COC-2-2017",2017,"Eastern","EAS-COC-2",14:25:00,"Chrysosoma sp","Cocos nucifera","Chrysosoma sp-Cocos nucifera",1,4756,132576,11.7949113448771,"Q"
"EAS-COC-2-2017",2017,"Eastern","EAS-COC-2",14:20:00,"Chrysosoma sp","Cocos nucifera","Chrysosoma sp-Cocos nucifera",1,4756,132576,11.7949113448771,"Q"
"LES-SCA-2-2017",2017,"Leslie","LES-SCA-2",11:25:00,"Chrysosoma sp","Scaevola taccada","Chrysosoma sp-Scaevola taccada",1,452,7978,8.98444303246535,"I"
"LOS-PIS-1-2017",2017,"Lost","LOS-PIS-1",09:50:00,"Chrysosoma sp","Pisonia grandis","Chrysosoma sp-Pisonia grandis",1,330,3451,8.146419323098,"F"
"LES-SCA-1-2017",2017,"Leslie","LES-SCA-1",11:05:00,"Chrysosoma sp","Scaevola taccada","Chrysosoma sp-Scaevola taccada",1,452,7978,8.98444303246535,"I"
"EAS-COC-2-2017",2017,"Eastern","EAS-COC-2",14:30:00,"Chrysosoma sp","Cocos nucifera","Chrysosoma sp-Cocos nucifera",1,4756,132576,11.7949113448771,"Q"
"LOS-PIS-1-2017",2017,"Lost","LOS-PIS-1",09:45:00,"Chrysosoma sp","Pisonia grandis","Chrysosoma sp-Pisonia grandis",1,330,3451,8.146419323098,"F"
"FER-HEL-2-2017",2017,"Fern","FER-HEL-2",12:05:00,"Chrysosoma sp","Heliotropium foertherianum","Chrysosoma sp-Heliotropium foertherianum",1,266,4862,8.48920515487607,"G"
"FER-HEL-2-2017",2017,"Fern","FER-HEL-2",12:05:00,"Chrysosoma sp","Heliotropium foertherianum","Chrysosoma sp-Heliotropium foertherianum",1,266,4862,8.48920515487607,"G"
"EAS-SCA-1-2017",2017,"Eastern","EAS-SCA-1",12:50:00,"Chrysosoma sp","Scaevola taccada","Chrysosoma sp-Scaevola taccada",1,4756,132576,11.7949113448771,"Q"
"LOS-PIS-1-2017",2017,"Lost","LOS-PIS-1",10:20:00,"Chrysosoma sp","Pisonia grandis","Chrysosoma sp-Pisonia grandis",1,330,3451,8.146419323098,"F"
"EAS-SCA-1-2017",2017,"Eastern","EAS-SCA-1",12:50:00,"Chrysosoma sp","Scaevola taccada","Chrysosoma sp-Scaevola taccada",1,4756,132576,11.7949113448771,"Q"
